TipLabel,max_distance,max_brightness,median_total_distance_from_brown,median_total_brightness,combined_color
Abroscopus_albogularis,6130.374303711567,215.41536639999998,21134.168619868746,732.5143112,0.7727514779899338
Abroscopus_schisticeps,6121.98412966387,223.90569659999997,28663.207434134238,1107.1502292,0.7727680372512219
Abroscopus_superciliaris,6152.4115430871025,233.5003208,27062.64102492404,1048.0906881,0.7793850584031697
Acanthagenys_rufogularis,4949.577898635957,209.53508179999997,24276.0807668533,1083.3482684,0.5765529528166744
Acanthidops_bairdii,3888.368764809887,160.5126684,20509.421321296148,707.4767294,0.3929934424110848
Acanthisitta_chloris,6559.108398045747,250.6025538,24955.709764768377,960.3648765,0.8494536430064353
Acanthiza_apicalis,6394.300028946468,246.68487939999997,26114.33551135972,1091.1083595,0.8215574172013029
Acanthiza_chrysorrhoa,6300.441696869779,246.7719436,30397.133474163948,1130.2220526,0.8060537972000856
Acanthiza_ewingii,5506.781119579942,222.08651759999998,21942.19196875978,995.822437,0.6707530195545861
Acanthiza_inornata,6292.703741554922,241.9682876,28899.689071787103,1142.1037919999999,0.8039802369248402
Acanthiza_iredalei,6599.189842211884,253.35243999999997,30418.510552945467,1191.9601496,0.8565351369989918
Acanthiza_katherina,5870.684368977883,234.34702,25999.557140544435,1118.1777768,0.7329458425606323
Acanthiza_lineata,5979.284716011999,235.3252456,24999.7081741222,1014.3310357999999,0.7510629544315004
Acanthiza_murina,5684.6687627847405,233.69145020000002,23346.625431686734,1043.5421002,0.7020826683356256
Acanthiza_nana,5428.711181955091,229.7770826,23462.827525845132,1094.1465082,0.6591168854400871
Acanthiza_pusilla,5394.406399108,214.9691758,22984.22104672518,1028.1261498999997,0.6509968664324791
Acanthiza_reguloides,6302.547321779448,247.86343,27826.60011215097,1167.8093893999999,0.8065823898059987
Acanthiza_robustirostris,6608.400490132398,253.84684879999998,29630.36291285047,1151.2574210999999,0.8581397171107055
Acanthiza_uropygialis,6643.933212400723,254.865,29819.490602162503,1221.1135709999999,0.8641828352832215
Acanthorhynchus_superciliosus,6365.893670078447,243.5478232,20841.509991492603,926.1390753999999,0.8163422043559528
Acanthorhynchus_tenuirostris,6593.0438546462165,251.8917952,23006.063318837205,794.2556106,0.855277498701498
Acanthornis_magna,6505.8166858817385,250.9295024,22980.230232272283,1044.1260195999998,0.8406967435174519
Achaetops_pycnopygius,6243.559424602241,242.73015519999998,22414.5650172154,953.4140226,0.7959809517868969
Acridotheres_albocinctus,6102.503087504764,231.86052999999998,25005.227303293323,581.78279,0.7708623579882428
Acridotheres_cinereus,5214.895168748022,195.4463152,26241.716722952617,831.1590650999999,0.6180896765927404
Acridotheres_cristatellus,4210.050528038562,146.7498534,23141.22784941178,493.7450467,0.4439030490806839
Acridotheres_fuscus,4713.265746200091,157.31856639999998,25182.53025760568,738.2973967999999,0.5288492272845947
Acridotheres_ginginianus,5406.2960283763205,193.1543486,26556.5028961281,770.9920248,0.6493558893970404
Acridotheres_grandis,4621.747252647988,131.0035126,23754.980633322106,472.5519103,0.5093672837969075
Acridotheres_tristis,4095.727290573717,115.120561,21902.80053987791,453.5686169,0.41977206938425404
Acrobatornis_fonsecai,4773.146042347057,183.2197468,26145.442035070613,670.0867691000001,0.5430318596158156
Acrocephalus_aedon,6510.792148812243,250.11081719999999,26705.236887818937,1107.1690454,0.8413840020330136
Acrocephalus_aequinoctialis,6576.0514611285,252.8676012,27287.65944377935,1038.6130186999999,0.8526294051840098
Acrocephalus_agricola,6570.965614339148,251.8423576,27073.02523069609,1079.4787876999999,0.8516190314806896
Acrocephalus_arundinaceus,6367.92904817824,248.620244,23220.214591094285,921.480428,0.8175173683020389
Acrocephalus_atyphus,6309.708167606913,244.05599440000003,25081.691812436304,1007.7374696,0.8071368240058558
Acrocephalus_australis,6433.93493639264,248.922811,18470.345852187715,908.5714444,0.8284804395688545
Acrocephalus_baeticatus,6628.667787674789,254.27463899999998,24329.84348639686,1023.0714916999999,0.8615613278398235
Acrocephalus_bistrigiceps,6566.00425946782,252.01720179999995,27417.16317673424,1112.8336943,0.8508276564224188
Acrocephalus_brevipennis,6545.503765107466,253.21663519999996,28968.26069693167,1133.9663194,0.8476365263297432
Acrocephalus_caffer,5853.72448644021,231.75869319999998,20499.583152289197,835.7104818,0.7297138503295572
Acrocephalus_concinens,6392.836481616069,245.02551899999997,24706.612811605475,1037.1812432,0.8210410930025661
Acrocephalus_dumetorum,6634.9833970096925,254.517,27377.46277590673,1045.8514226,0.8626455861883967
Acrocephalus_familiaris,6261.653353950241,240.8740368,22507.24550675151,1004.34303,0.7986656211562013
Acrocephalus_gracilirostris,6147.228264134789,230.1387436,26658.912548566324,1049.8085226,0.7779722994019292
Acrocephalus_griseldis,6456.9917480423965,248.92522499999998,22597.942816147865,927.3094765999999,0.8322929237134249
Acrocephalus_kerearako,5455.8940772994465,232.3353788,21010.933219320534,990.4008349000001,0.6640341286695747
Acrocephalus_luscinius,5588.8605245708295,235.6994608,19131.042966291545,928.9094339,0.6865742602924912
Acrocephalus_melanopogon,6386.5832731368755,244.4169432,27820.16321922763,921.9563724,0.8199066037458479
Acrocephalus_mendanae,5509.853607252647,232.42137559999998,22839.779366653907,1031.4552767,0.6729697155345095
Acrocephalus_newtoni,6355.733163214618,245.7072266,25963.656197497327,1013.8974447,0.8150193464006061
Acrocephalus_orinus,6317.433632424625,245.0890404,18943.066029642483,916.1695511999999,0.808584907481414
